presFesto5-1 [V]	AWM5-5 [V]	MPX700-2 [V]
0.002	0.475	0.018
0.002	0.475	0.018
0.003	0.475	0.017
0.002	0.474	0.018
0.003	0.474	0.017
0.003	0.474	0.017
0.003	0.474	0.017
0.003	0.475	0.018
0.003	0.473	0.018
0.002	0.474	0.017
0.003	0.473	0.018
0.002	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.017
0.002	0.474	0.018
0.002	0.475	0.018
0.002	0.475	0.018
0.002	0.475	0.018
0.002	0.475	0.017
0.002	0.474	0.018
0.003	0.475	0.018
0.003	0.474	0.018
0.004	0.475	0.018
0.004	0.474	0.017
0.003	0.474	0.018
0.003	0.474	0.018
0.004	0.474	0.017
0.003	0.473	0.018
0.003	0.474	0.018
0.003	0.473	0.018
0.003	0.473	0.018
0.002	0.474	0.017
0.002	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.017
0.003	0.474	0.018
0.002	0.474	0.018
0.002	0.475	0.018
0.003	0.475	0.018
0.003	0.475	0.018
0.003	0.475	0.017
0.004	0.475	0.017
0.003	0.475	0.018
0.003	0.474	0.018
0.003	0.474	0.018
0.002	0.474	0.018
0.003	0.474	0.017
0.003	0.474	0.018
0.002	0.473	0.017
0.002	0.474	0.018
0.001	0.474	0.017
0.002	0.474	0.018
0.002	0.474	0.018
0.001	0.473	0.018
0.002	0.474	0.017
0.002	0.475	0.017
0.001	0.474	0.018
0.002	0.475	0.018
0.002	0.474	0.018
0.002	0.475	0.018
0.003	0.475	0.018
0.002	0.474	0.018
0.004	0.475	0.018
0.003	0.475	0.018
0.003	0.474	0.018
0.003	0.475	0.018
0.002	0.475	0.018
0.002	0.473	0.017
0.002	0.474	0.018
0.001	0.474	0.017
0.002	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.017
0.001	0.474	0.017
0.002	0.474	0.018
0.002	0.474	0.018
0.001	0.475	0.018
0.002	0.475	0.018
0.001	0.475	0.018
0.002	0.475	0.018
0.001	0.475	0.018
0.002	0.475	0.018
0.002	0.475	0.018
0.002	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.018
0.001	0.475	0.018
0.001	0.474	0.017
0.002	0.474	0.018
0.001	0.474	0.017
0.001	0.474	0.018
0.001	0.473	0.018
0.000	0.474	0.017
0.001	0.474	0.018
0.001	0.474	0.018
0.001	0.474	0.018
0.001	0.475	0.018
0.001	0.474	0.018
0.002	0.475	0.018
0.003	0.475	0.018
0.002	0.475	0.018
0.002	0.475	0.018
0.003	0.475	0.018
0.003	0.475	0.018
0.003	0.475	0.018
0.002	0.474	0.018
0.003	0.474	0.018
0.003	0.473	0.018
0.002	0.474	0.018
0.003	0.475	0.018
0.002	0.474	0.017
0.003	0.474	0.017
0.003	0.474	0.017
0.003	0.474	0.018
0.003	0.475	0.018
0.004	0.474	0.018
0.003	0.475	0.018
0.004	0.474	0.017
0.003	0.474	0.018
0.004	0.475	0.018
0.004	0.475	0.017
0.004	0.474	0.018
0.005	0.474	0.018
0.004	0.474	0.018
0.004	0.474	0.018
0.004	0.475	0.018
0.004	0.474	0.018
0.004	0.474	0.018
0.004	0.473	0.018
0.003	0.474	0.018
0.003	0.474	0.018
0.003	0.474	0.017
0.003	0.474	0.018
0.003	0.474	0.018
0.003	0.474	0.018
0.003	0.475	0.018
0.003	0.474	0.018
0.003	0.474	0.018
0.004	0.474	0.018
0.003	0.475	0.018
0.004	0.475	0.018
0.003	0.475	0.018
0.003	0.475	0.018
0.004	0.475	0.018
0.004	0.474	0.018
0.003	0.474	0.018
0.003	0.474	0.017
0.003	0.473	0.018
0.003	0.474	0.018
0.002	0.474	0.018
0.001	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.018
0.001	0.475	0.018
0.002	0.475	0.017
0.002	0.474	0.018
0.003	0.475	0.018
0.002	0.475	0.018
0.001	0.474	0.017
0.003	0.475	0.018
0.003	0.475	0.018
0.002	0.475	0.018
0.003	0.474	0.018
0.003	0.474	0.018
0.003	0.474	0.018
0.003	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.018
0.002	0.474	0.017
0.002	0.474	0.018
0.003	0.474	0.018
0.002	0.474	0.018
0.003	0.474	0.018
0.002	0.475	0.018
0.002	0.475	0.017
