presFesto-0[V] 	DigOut-1[V]	MPX100-2[V]	HAF075#2-9[V]
4.999	4.900	0.250	2.497
4.999	4.900	0.251	2.496
4.998	4.900	0.249	2.496
4.997	4.899	0.252	2.498
4.994	4.899	0.252	2.497
4.996	4.899	0.251	2.498
4.997	4.899	0.251	2.498
4.997	4.899	0.252	2.496
4.998	4.899	0.250	2.496
5.000	4.899	0.251	2.498
4.996	4.899	0.249	2.498
4.997	4.899	0.250	2.498
4.998	4.899	0.252	2.498
5.000	4.899	0.249	2.497
4.998	4.898	0.252	2.498
4.997	4.899	0.251	2.498
4.997	4.898	0.249	2.498
4.998	4.898	0.251	2.498
5.000	4.899	0.248	2.499
4.998	4.900	0.251	2.499
4.997	4.900	0.252	2.498
4.998	4.899	0.251	2.499
4.997	4.899	0.250	2.498
4.998	4.899	0.251	2.498
4.995	4.899	0.251	2.497
4.997	4.899	0.250	2.497
4.997	4.900	0.251	2.498
4.998	4.899	0.250	2.499
5.000	4.900	0.251	2.497
4.993	4.900	0.252	2.498
4.997	4.899	0.250	2.498
4.996	4.899	0.251	2.496
4.997	4.899	0.249	2.496
4.996	4.899	0.250	2.497
4.998	4.899	0.250	2.497
4.998	4.899	0.251	2.498
4.995	4.899	0.250	2.497
4.998	4.900	0.248	2.496
4.999	4.899	0.251	2.497
4.998	4.899	0.249	2.499
4.995	4.899	0.251	2.498
4.994	4.898	0.249	2.496
5.000	4.899	0.249	2.498
4.996	4.899	0.249	2.497
4.998	4.899	0.250	2.497
4.997	4.899	0.250	2.499
4.998	4.899	0.250	2.497
4.994	4.900	0.250	2.497
4.996	4.899	0.250	2.497
4.999	4.899	0.251	2.495
4.998	4.899	0.249	2.498
4.997	4.899	0.252	2.498
5.000	4.899	0.250	2.498
4.994	4.900	0.250	2.494
4.998	4.899	0.251	2.498
4.998	4.900	0.251	2.497
4.997	4.898	0.250	2.497
4.997	4.899	0.250	2.496
4.997	4.899	0.251	2.496
4.998	4.899	0.248	2.498
4.999	4.899	0.250	2.497
4.995	4.900	0.250	2.498
4.996	4.899	0.250	2.498
4.997	4.899	0.253	2.498
4.997	4.899	0.252	2.498
4.998	4.899	0.251	2.498
5.000	4.898	0.251	2.497
4.996	4.899	0.251	2.497
4.996	4.899	0.247	2.499
4.997	4.899	0.251	2.499
4.995	4.900	0.250	2.498
4.997	4.900	0.250	2.497
4.998	4.899	0.252	2.497
4.995	4.899	0.252	2.495
4.996	4.899	0.249	2.497
4.998	4.899	0.251	2.497
4.999	4.899	0.252	2.497
4.997	4.899	0.252	2.497
4.995	4.898	0.250	2.496
4.997	4.899	0.252	2.498
4.997	4.899	0.248	2.497
4.998	4.900	0.250	2.498
4.997	4.900	0.250	2.497
4.995	4.899	0.248	2.497
4.995	4.899	0.250	2.499
4.995	4.899	0.247	2.498
4.998	4.899	0.251	2.498
5.000	4.899	0.250	2.499
4.997	4.899	0.251	2.496
4.994	4.899	0.250	2.496
4.995	4.901	0.251	2.497
4.996	4.899	0.251	2.496
5.001	4.899	0.251	2.496
5.000	4.899	0.251	2.497
4.998	4.899	0.249	2.498
4.996	4.899	0.252	2.496
4.999	4.899	0.249	2.498
4.999	4.899	0.250	2.497
4.998	4.899	0.251	2.497
4.995	4.899	0.251	2.497
4.993	4.900	0.250	2.497
4.996	4.899	0.250	2.497
4.997	4.899	0.250	2.497
4.999	4.899	0.252	2.497
5.000	4.899	0.250	2.497
4.997	4.900	0.249	2.497
4.993	4.899	0.250	2.497
4.997	4.900	0.250	2.496
4.996	4.900	0.252	2.498
4.998	4.899	0.248	2.498
4.998	4.899	0.248	2.497
4.998	4.899	0.249	2.498
4.997	4.899	0.249	2.497
4.996	4.899	0.250	2.496
4.997	4.900	0.252	2.497
4.997	4.899	0.251	2.498
4.997	4.899	0.253	2.497
4.996	4.899	0.251	2.498
4.996	4.899	0.250	2.498
4.997	4.899	0.252	2.498
4.998	4.899	0.252	2.498
4.997	4.899	0.249	2.497
4.997	4.899	0.250	2.498
4.997	4.898	0.250	2.498
4.996	4.900	0.250	2.498
4.997	4.900	0.252	2.498
4.996	4.899	0.251	2.497
4.999	4.900	0.248	2.497
4.998	4.900	0.251	2.497
4.997	4.900	0.252	2.496
4.998	4.898	0.248	2.497
4.996	4.898	0.250	2.495
4.996	4.899	0.249	2.497
4.996	4.899	0.250	2.496
4.996	4.899	0.250	2.498
4.997	4.899	0.249	2.498
4.999	4.899	0.250	2.498
4.998	4.899	0.251	2.498
4.997	4.899	0.250	2.498
5.000	4.898	0.251	2.499
4.997	4.899	0.252	2.500
5.000	4.900	0.250	2.497
4.995	4.899	0.251	2.495
4.998	4.899	0.250	2.496
4.997	4.899	0.248	2.497
4.997	4.899	0.250	2.498
4.998	4.899	0.253	2.497
4.997	4.899	0.250	2.497
4.997	4.899	0.249	2.496
4.998	4.899	0.252	2.498
4.998	4.899	0.251	2.497
4.998	4.899	0.251	2.497
4.994	4.900	0.250	2.495
4.997	4.899	0.252	2.497
4.996	4.899	0.248	2.496
4.998	4.899	0.251	2.496
4.996	4.898	0.249	2.496
4.997	4.899	0.250	2.498
4.997	4.899	0.252	2.497
4.995	4.899	0.250	2.497
4.998	4.899	0.252	2.497
4.999	4.899	0.251	2.497
4.996	4.900	0.252	2.497
4.995	4.899	0.252	2.497
4.998	4.899	0.249	2.495
4.998	4.899	0.250	2.496
4.999	4.899	0.251	2.497
4.999	4.900	0.251	2.499
4.996	4.899	0.252	2.496
4.996	4.899	0.250	2.496
4.993	4.900	0.252	2.496
4.996	4.899	0.250	2.497
4.998	4.899	0.250	2.496
4.995	4.899	0.250	2.497
4.996	4.899	0.250	2.498
4.995	4.899	0.250	2.497
4.998	4.899	0.250	2.498
4.999	4.900	0.250	2.497
4.996	4.900	0.252	2.497
4.996	4.900	0.251	2.495
4.994	4.899	0.249	2.497
4.996	4.899	0.251	2.498
4.997	4.899	0.248	2.495
4.997	4.899	0.252	2.498
4.996	4.899	0.248	2.497
4.998	4.899	0.250	2.497
4.996	4.899	0.251	2.497
4.999	4.899	0.251	2.498
4.998	4.899	0.251	2.497
4.998	4.899	0.249	2.498
4.997	4.900	0.252	2.496
4.996	4.899	0.251	2.498
4.993	4.899	0.251	2.497
4.997	4.899	0.250	2.498
4.997	4.899	0.250	2.495
4.996	4.900	0.251	2.496
4.995	4.899	0.251	2.498
4.998	4.900	0.252	2.496
4.996	4.899	0.250	2.497
5.000	4.899	0.250	2.497
4.997	4.899	0.252	2.497
4.996	4.900	0.251	2.497
4.997	4.900	0.250	2.497
4.998	4.900	0.251	2.497
4.998	4.899	0.250	2.497
4.998	4.900	0.251	2.497
4.996	4.899	0.250	2.496
4.994	4.899	0.251	2.497
4.998	4.899	0.250	2.497
4.999	4.899	0.252	2.497
4.995	4.899	0.251	2.497
4.996	4.899	0.250	2.498
4.997	4.899	0.252	2.497
4.997	4.900	0.252	2.497
5.000	4.900	0.250	2.497
4.998	4.899	0.250	2.497
4.995	4.898	0.251	2.497
4.996	4.899	0.250	2.498
5.000	4.899	0.250	2.498
4.999	4.899	0.249	2.497
4.996	4.899	0.250	2.497
4.996	4.899	0.252	2.498
4.995	4.899	0.249	2.497
4.995	4.900	0.251	2.497
4.999	4.900	0.250	2.498
4.997	4.899	0.250	2.498
4.998	4.899	0.250	2.497
5.000	4.899	0.252	2.496
4.995	4.899	0.250	2.496
4.996	4.900	0.251	2.497
4.995	4.899	0.250	2.497
4.998	4.899	0.248	2.496
4.999	4.899	0.250	2.498
4.998	4.899	0.251	2.496
4.997	4.899	0.251	2.498
4.996	4.899	0.250	2.498
4.997	4.899	0.251	2.497
4.998	4.899	0.248	2.498
4.998	4.899	0.251	2.497
4.997	4.899	0.251	2.497
4.996	4.900	0.250	2.497
4.997	4.899	0.251	2.496
4.997	4.899	0.251	2.497
4.998	4.899	0.250	2.496
4.995	4.899	0.249	2.496
4.998	4.900	0.250	2.496
4.996	4.899	0.250	2.497
4.998	4.900	0.252	2.495
4.996	4.900	0.251	2.495
4.998	4.899	0.250	2.497
4.996	4.900	0.248	2.496
5.000	4.899	0.251	2.498
4.996	4.899	0.250	2.497
4.996	4.899	0.251	2.498
4.998	4.899	0.250	2.498
4.996	4.899	0.251	2.497
4.997	4.899	0.251	2.497
4.998	4.899	0.250	2.497
4.996	4.900	0.250	2.498
4.997	4.899	0.251	2.497
4.996	4.899	0.251	2.496
4.998	4.899	0.252	2.497
4.998	4.900	0.251	2.497
4.998	4.899	0.249	2.497
4.996	4.900	0.250	2.498
4.997	4.900	0.250	2.497
4.998	4.900	0.249	2.498
4.997	4.899	0.249	2.498
4.998	4.899	0.251	2.496
4.997	4.899	0.251	2.499
4.998	4.899	0.252	2.499
4.999	4.899	0.250	2.498
4.997	4.899	0.251	2.498
4.996	4.899	0.250	2.497
4.994	4.899	0.251	2.497
4.996	4.899	0.250	2.498
4.996	4.900	0.250	2.499
4.995	4.900	0.252	2.499
4.998	4.899	0.251	2.498
4.995	4.899	0.250	2.496
4.995	4.899	0.252	2.498
4.998	4.899	0.251	2.497
4.996	4.899	0.252	2.499
4.998	4.900	0.252	2.499
4.997	4.899	0.251	2.498
4.997	4.899	0.251	2.498
4.997	4.899	0.252	2.497
4.996	4.899	0.250	2.498
4.994	4.899	0.250	2.499
4.998	4.899	0.251	2.498
4.997	4.899	0.250	2.498
4.998	4.899	0.252	2.498
4.997	4.900	0.250	2.497
4.996	4.899	0.251	2.498
5.000	4.900	0.249	2.497
4.997	4.899	0.251	2.500
4.999	4.899	0.251	2.499
4.996	4.898	0.252	2.497
4.994	4.899	0.251	2.495
4.996	4.899	0.250	2.497
4.999	4.900	0.249	2.498
4.997	4.899	0.250	2.496
4.996	4.900	0.251	2.497
4.997	4.899	0.251	2.497
4.997	4.899	0.250	2.498
4.997	4.899	0.249	2.498
4.999	4.899	0.252	2.499
4.995	4.899	0.249	2.498
4.997	4.899	0.252	2.498
4.995	4.899	0.249	2.498
4.995	4.899	0.250	2.498
4.998	4.899	0.251	2.499
4.999	4.899	0.249	2.499
4.998	4.899	0.253	2.499
4.998	4.899	0.250	2.497
4.997	4.899	0.250	2.499
4.996	4.899	0.249	2.498
4.996	4.899	0.251	2.498
4.998	4.899	0.249	2.497
4.997	4.900	0.250	2.499
4.996	4.900	0.251	2.498
4.998	4.899	0.251	2.497
4.998	4.899	0.251	2.499
4.997	4.899	0.249	2.498
4.997	4.899	0.251	2.498
4.995	4.899	0.250	2.499
4.997	4.900	0.250	2.497
4.998	4.899	0.249	2.499
4.997	4.899	0.248	2.497
5.001	4.899	0.251	2.498
4.997	4.899	0.249	2.498
4.995	4.899	0.250	2.498
4.997	4.898	0.250	2.498
4.999	4.899	0.251	2.496
4.998	4.899	0.251	2.497
4.998	4.899	0.251	2.499
4.997	4.900	0.251	2.496
4.995	4.899	0.252	2.496
4.996	4.899	0.249	2.497
4.997	4.899	0.250	2.497
4.997	4.899	0.254	2.498
4.999	4.899	0.250	2.497
4.995	4.899	0.250	2.498
4.996	4.899	0.251	2.498
4.997	4.899	0.250	2.498
4.997	4.899	0.249	2.497
4.996	4.899	0.252	2.498
4.995	4.899	0.250	2.497
4.999	4.899	0.250	2.498
4.996	4.899	0.251	2.496
4.997	4.899	0.252	2.497
4.996	4.899	0.250	2.498
4.997	4.899	0.251	2.498
4.999	4.900	0.249	2.497
4.997	4.899	0.251	2.496
4.996	4.899	0.250	2.496
4.996	4.900	0.250	2.498
4.997	4.899	0.252	2.498
4.999	4.899	0.248	2.497
4.997	4.899	0.251	2.498
4.999	4.899	0.250	2.496
4.996	4.899	0.250	2.497
4.999	4.899	0.252	2.497
4.996	4.899	0.249	2.496
4.997	4.899	0.250	2.498
4.996	4.899	0.251	2.497
4.996	4.899	0.251	2.497
4.995	4.899	0.250	2.496
4.996	4.899	0.250	2.498
4.996	4.899	0.250	2.497
4.999	4.900	0.251	2.496
4.997	4.899	0.249	2.497
4.998	4.899	0.251	2.497
4.997	4.899	0.250	2.498
4.995	4.899	0.252	2.498
4.999	4.899	0.252	2.499
4.998	4.899	0.251	2.498
4.996	4.900	0.250	2.496
4.999	4.899	0.251	2.498
4.999	4.899	0.251	2.498
4.997	4.899	0.252	2.497
4.997	4.899	0.252	2.498
4.998	4.899	0.251	2.497
4.997	4.898	0.251	2.497
4.998	4.899	0.250	2.495
4.997	4.899	0.252	2.496
5.000	4.899	0.249	2.497
4.999	4.899	0.251	2.496
4.993	4.900	0.251	2.498
4.996	4.899	0.251	2.496
4.997	4.899	0.249	2.497
4.997	4.899	0.250	2.496
5.000	4.899	0.249	2.496
4.998	4.898	0.248	2.497
4.996	4.899	0.249	2.498
4.995	4.899	0.251	2.497
4.995	4.899	0.249	2.497
4.998	4.899	0.251	2.496
4.998	4.899	0.251	2.496
4.996	4.899	0.251	2.496
4.999	4.899	0.251	2.496
4.996	4.899	0.251	2.497
4.998	4.899	0.251	2.495
4.997	4.899	0.250	2.497
4.996	4.899	0.252	2.497
4.999	4.899	0.251	2.496
4.999	4.901	0.250	2.495
4.999	4.899	0.249	2.495
4.998	4.900	0.251	2.496
4.996	4.899	0.251	2.494
4.997	4.899	0.251	2.495
4.997	4.899	0.250	2.497
4.996	4.899	0.249	2.498
4.998	4.899	0.250	2.498
4.997	4.899	0.251	2.495
4.996	4.900	0.250	2.496
4.995	4.900	0.251	2.498
4.995	4.899	0.248	2.495
4.998	4.900	0.250	2.497
4.997	4.899	0.250	2.496
4.996	4.899	0.249	2.497
4.996	4.899	0.250	2.496
4.996	4.900	0.250	2.494
4.998	4.899	0.248	2.497
4.996	4.899	0.250	2.496
4.995	4.900	0.249	2.495
4.994	4.899	0.251	2.497
4.996	4.898	0.250	2.497
4.998	4.898	0.249	2.498
5.000	4.899	0.249	2.497
4.998	4.900	0.250	2.497
4.996	4.899	0.253	2.498
4.996	4.899	0.251	2.497
4.998	4.899	0.251	2.497
4.997	4.899	0.249	2.497
4.998	4.899	0.251	2.497
4.995	4.899	0.249	2.496
4.996	4.899	0.250	2.495
4.997	4.900	0.250	2.496
4.998	4.900	0.250	2.497
4.999	4.900	0.249	2.498
4.996	4.899	0.250	2.496
4.996	4.899	0.253	2.497
4.998	4.899	0.250	2.497
4.997	4.899	0.251	2.496
4.998	4.899	0.251	2.498
4.997	4.899	0.251	2.497
4.995	4.900	0.249	2.497
4.998	4.899	0.253	2.497
4.999	4.899	0.249	2.496
4.999	4.900	0.250	2.494
4.996	4.899	0.250	2.495
4.996	4.900	0.250	2.496
4.996	4.899	0.250	2.497
4.996	4.899	0.250	2.498
4.998	4.899	0.250	2.497
5.000	4.899	0.251	2.496
5.000	4.899	0.250	2.496
4.995	4.899	0.251	2.495
4.996	4.899	0.250	2.498
4.999	4.900	0.250	2.497
4.997	4.899	0.252	2.497
5.000	4.899	0.250	2.497
4.995	4.899	0.251	2.496
4.997	4.899	0.250	2.495
4.996	4.900	0.251	2.496
4.998	4.899	0.250	2.497
4.997	4.899	0.250	2.498
4.997	4.899	0.251	2.497
4.996	4.899	0.251	2.497
4.997	4.899	0.250	2.495
4.998	4.899	0.249	2.497
4.996	4.899	0.252	2.496
4.997	4.899	0.249	2.497
4.994	4.899	0.248	2.495
4.997	4.899	0.251	2.497
4.999	4.899	0.253	2.496
4.997	4.899	0.250	2.495
4.996	4.899	0.250	2.497
4.997	4.899	0.250	2.497
4.995	4.900	0.250	2.497
4.996	4.899	0.250	2.498
4.999	4.899	0.250	2.497
4.996	4.899	0.252	2.497
4.998	4.899	0.250	2.496
4.998	4.899	0.250	2.496
4.996	4.900	0.249	2.496
4.997	4.899	0.250	2.496
4.998	4.899	0.249	2.496
4.998	4.899	0.251	2.497
4.997	4.899	0.250	2.497
4.998	4.899	0.252	2.497
4.996	4.899	0.251	2.495
4.995	4.899	0.249	2.497
4.999	4.899	0.249	2.496
5.001	4.900	0.250	2.495
4.997	4.899	0.250	2.495
4.996	4.899	0.251	2.496
4.998	4.899	0.249	2.497
4.999	4.900	0.252	2.495
4.997	4.899	0.250	2.495
4.997	4.899	0.249	2.496
4.997	4.899	0.249	2.496
4.997	4.900	0.252	2.496
4.997	4.899	0.248	2.498
4.999	4.900	0.250	2.495
4.998	4.900	0.250	2.496
4.995	4.899	0.251	2.498
4.998	4.899	0.249	2.497
4.996	4.899	0.250	2.495
4.997	4.899	0.250	2.497
4.996	4.899	0.252	2.495
4.996	4.899	0.250	2.496
4.996	4.899	0.248	2.495
4.999	4.899	0.250	2.498
4.997	4.899	0.249	2.496
4.998	4.899	0.251	2.496
4.996	4.899	0.250	2.495
4.997	4.899	0.249	2.495
4.996	4.900	0.249	2.493
4.996	4.899	0.250	2.497
4.998	4.900	0.249	2.496
4.999	4.900	0.250	2.497
4.997	4.899	0.251	2.495
4.996	4.899	0.249	2.495
4.997	4.899	0.249	2.496
4.999	4.899	0.250	2.495
4.998	4.899	0.250	2.497
4.997	4.899	0.248	2.495
4.998	4.900	0.252	2.497
4.998	4.900	0.251	2.496
5.000	4.900	0.249	2.495
4.999	4.899	0.250	2.497
4.997	4.899	0.249	2.497
4.997	4.899	0.252	2.498
4.997	4.899	0.250	2.497
4.998	4.899	0.249	2.497
4.996	4.899	0.252	2.496
4.996	4.900	0.251	2.496
4.997	4.900	0.251	2.496
4.997	4.899	0.250	2.495
4.997	4.899	0.251	2.490
4.995	4.899	0.249	2.496
4.996	4.899	0.249	2.500
4.998	4.899	0.251	2.506
4.999	4.899	0.250	2.501
4.997	4.900	0.250	2.496
4.995	4.899	0.248	2.497
5.001	4.899	0.251	2.501
4.995	4.900	0.251	2.498
4.996	4.899	0.248	2.499
4.995	4.899	0.251	2.497
4.995	4.899	0.250	2.497
4.997	4.899	0.251	2.492
4.996	4.900	0.251	2.496
4.996	4.899	0.251	2.496
4.996	4.900	0.250	2.490
5.000	4.900	0.251	2.490
4.999	4.900	0.250	2.492
4.997	4.899	0.249	2.491
4.996	4.899	0.251	2.496
4.996	4.899	0.249	2.492
4.997	4.900	0.251	2.492
4.997	4.899	0.248	2.495
4.998	4.899	0.249	2.496
4.994	4.899	0.252	2.499
4.998	4.899	0.250	2.497
4.996	4.899	0.250	2.497
4.998	4.899	0.251	2.498
4.997	4.899	0.249	2.500
4.999	4.899	0.251	2.498
4.996	4.899	0.250	2.498
4.996	4.899	0.253	2.498
4.997	4.899	0.251	2.498
4.997	4.899	0.250	2.497
4.997	4.900	0.250	2.498
4.997	4.899	0.252	2.497
4.999	4.899	0.250	2.497
4.999	4.899	0.252	2.499
4.996	4.899	0.251	2.498
4.997	4.899	0.252	2.497
4.998	4.899	0.250	2.496
4.994	4.899	0.248	2.496
4.998	4.900	0.252	2.496
4.998	4.899	0.249	2.497
5.002	4.900	0.250	2.497
4.997	4.900	0.253	2.496
4.995	4.899	0.250	2.497
4.996	4.899	0.250	2.497
4.998	4.899	0.249	2.496
4.995	4.899	0.249	2.495
4.997	4.899	0.248	2.495
4.996	4.899	0.250	2.496
4.995	4.899	0.249	2.496
4.998	4.899	0.250	2.496
4.996	4.899	0.249	2.496
4.998	4.899	0.250	2.495
4.998	4.900	0.251	2.497
4.993	4.899	0.249	2.496
4.995	4.900	0.249	2.497
5.000	4.899	0.251	2.498
4.998	4.900	0.250	2.498
4.996	4.900	0.249	2.498
4.996	4.900	0.252	2.498
4.998	4.898	0.251	2.499
4.996	4.898	0.251	2.497
4.998	4.900	0.250	2.498
4.999	4.899	0.250	2.496
4.998	4.899	0.252	2.495
4.996	4.899	0.251	2.495
4.997	4.899	0.250	2.497
4.997	4.899	0.251	2.497
4.998	4.900	0.250	2.495
4.996	4.899	0.251	2.497
4.996	4.899	0.251	2.495
4.998	4.899	0.250	2.497
4.998	4.900	0.250	2.497
4.998	4.899	0.250	2.497
4.995	4.899	0.251	2.497
4.995	4.899	0.250	2.498
4.995	4.900	0.253	2.496
4.996	4.898	0.250	2.498
5.000	4.899	0.249	2.496
4.997	4.899	0.250	2.495
4.998	4.899	0.250	2.496
4.997	4.899	0.252	2.498
4.998	4.899	0.250	2.496
4.997	4.899	0.251	2.497
4.999	4.899	0.251	2.498
4.998	4.900	0.251	2.498
4.998	4.899	0.251	2.498
4.996	4.899	0.250	2.498
4.998	4.899	0.251	2.497
5.000	4.899	0.252	2.496
4.997	4.899	0.250	2.498
4.998	4.900	0.251	2.498
4.999	4.899	0.250	2.495
4.996	4.900	0.251	2.497
4.996	4.899	0.251	2.495
4.997	4.899	0.252	2.495
4.998	4.899	0.252	2.496
4.996	4.900	0.250	2.497
4.996	4.899	0.250	2.497
5.002	4.899	0.251	2.496
4.996	4.900	0.250	2.497
4.997	4.899	0.251	2.497
4.997	4.899	0.249	2.496
4.995	4.899	0.251	2.499
4.996	4.900	0.252	2.497
4.998	4.899	0.250	2.496
4.999	4.899	0.251	2.497
4.998	4.899	0.250	2.495
4.995	4.899	0.250	2.496
4.996	4.900	0.251	2.496
4.996	4.900	0.251	2.498
4.996	4.899	0.249	2.498
4.997	4.899	0.252	2.498
4.997	4.899	0.251	2.496
4.999	4.899	0.252	2.496
4.997	4.899	0.249	2.496
4.997	4.900	0.249	2.499
4.996	4.900	0.252	2.497
4.994	4.899	0.249	2.495
4.996	4.899	0.250	2.496
4.996	4.899	0.250	2.496
5.000	4.899	0.250	2.497
4.998	4.899	0.252	2.496
4.997	4.899	0.249	2.494
4.995	4.900	0.251	2.496
4.996	4.899	0.251	2.497
4.997	4.899	0.252	2.496
4.998	4.900	0.251	2.495
4.997	4.900	0.250	2.497
4.996	4.899	0.250	2.496
4.998	4.899	0.249	2.496
5.000	4.899	0.249	2.495
5.000	4.899	0.252	2.496
4.998	4.899	0.251	2.498
4.994	4.899	0.250	2.499
4.997	4.899	0.251	2.498
4.998	4.899	0.250	2.495
4.998	4.899	0.252	2.497
4.998	4.899	0.250	2.497
4.995	4.899	0.249	2.497
4.995	4.899	0.250	2.498
4.997	4.899	0.251	2.497
4.998	4.899	0.249	2.496
4.996	4.900	0.250	2.496
4.994	4.899	0.250	2.498
4.995	4.899	0.250	2.497
4.998	4.899	0.250	2.497
4.996	4.899	0.250	2.497
4.998	4.898	0.249	2.496
4.997	4.899	0.249	2.495
4.996	4.899	0.251	2.496
4.995	4.900	0.252	2.495
4.998	4.900	0.249	2.497
4.997	4.899	0.251	2.497
4.997	4.899	0.249	2.496
4.998	4.899	0.252	2.496
4.996	4.899	0.250	2.495
4.996	4.899	0.248	2.495
4.997	4.899	0.249	2.496
4.998	4.899	0.250	2.495
4.997	4.899	0.251	2.495
4.995	4.899	0.251	2.496
4.998	4.900	0.251	2.497
4.998	4.900	0.250	2.494
4.997	4.899	0.251	2.495
4.998	4.899	0.249	2.495
4.996	4.899	0.249	2.495
4.995	4.899	0.249	2.495
4.999	4.899	0.249	2.496
4.997	4.899	0.249	2.495
4.998	4.899	0.251	2.494
4.995	4.899	0.251	2.496
4.996	4.899	0.250	2.495
4.999	4.899	0.250	2.495
5.000	4.899	0.250	2.495
4.998	4.899	0.249	2.496
4.996	4.899	0.250	2.496
4.996	4.899	0.249	2.496
4.996	4.899	0.252	2.496
4.999	4.900	0.250	2.496
4.995	4.900	0.250	2.496
4.996	4.899	0.251	2.496
4.996	4.899	0.252	2.497
4.998	4.899	0.250	2.498
4.998	4.899	0.250	2.495
4.997	4.899	0.251	2.495
4.999	4.899	0.248	2.498
4.998	4.899	0.248	2.498
4.998	4.900	0.250	2.495
4.997	4.899	0.249	2.495
4.996	4.899	0.249	2.495
4.997	4.899	0.252	2.496
4.997	4.900	0.249	2.496
4.995	4.899	0.250	2.497
4.997	4.900	0.250	2.496
4.997	4.900	0.251	2.498
4.997	4.899	0.251	2.497
4.997	4.899	0.251	2.496
4.997	4.899	0.252	2.498
4.998	4.900	0.249	2.498
4.997	4.899	0.250	2.495
4.999	4.899	0.252	2.496
4.997	4.899	0.251	2.497
4.994	4.899	0.251	2.494
4.996	4.899	0.252	2.497
5.001	4.899	0.251	2.498
4.997	4.900	0.249	2.497
4.997	4.899	0.251	2.497
4.996	4.899	0.249	2.497
4.997	4.899	0.250	2.497
4.995	4.899	0.251	2.496
4.998	4.899	0.250	2.498
4.999	4.899	0.252	2.497
4.995	4.900	0.251	2.496
4.996	4.899	0.253	2.497
4.996	4.900	0.250	2.496
4.998	4.899	0.249	2.495
5.000	4.900	0.249	2.494
4.999	4.899	0.252	2.497
4.996	4.900	0.251	2.495
4.997	4.899	0.249	2.496
4.995	4.899	0.250	2.494
4.998	4.900	0.250	2.496
4.997	4.899	0.249	2.495
4.996	4.899	0.253	2.495
4.997	4.899	0.249	2.497
4.998	4.899	0.252	2.495
4.998	4.899	0.250	2.496
5.000	4.899	0.249	2.495
5.000	4.899	0.249	2.497
4.995	4.899	0.250	2.496
4.997	4.899	0.251	2.497
4.995	4.900	0.248	2.495
4.996	4.900	0.249	2.495
5.000	4.900	0.249	2.495
5.001	4.899	0.250	2.496
5.000	4.899	0.250	2.497
4.998	4.899	0.251	2.496
4.996	4.899	0.250	2.495
4.996	4.899	0.251	2.495
4.998	4.899	0.249	2.496
4.998	4.900	0.249	2.494
4.998	4.900	0.249	2.496
4.997	4.899	0.250	2.496
4.996	4.899	0.249	2.497
4.996	4.899	0.250	2.495
4.998	4.899	0.252	2.495
4.996	4.900	0.251	2.496
4.996	4.899	0.249	2.495
4.998	4.899	0.250	2.495
4.997	4.899	0.252	2.496
5.000	4.899	0.251	2.495
4.997	4.899	0.250	2.495
4.998	4.900	0.248	2.495
4.996	4.899	0.251	2.497
4.995	4.899	0.252	2.496
4.997	4.899	0.250	2.497
4.996	4.899	0.251	2.497
4.994	4.899	0.250	2.497
4.997	4.899	0.250	2.497
4.999	4.899	0.249	2.496
4.999	4.900	0.250	2.496
4.996	4.899	0.250	2.497
4.995	4.899	0.251	2.494
4.998	4.899	0.250	2.496
4.997	4.899	0.248	2.497
4.998	4.899	0.250	2.496
4.997	4.899	0.251	2.495
4.993	4.899	0.250	2.497
4.999	4.899	0.251	2.496
4.998	4.899	0.250	2.497
4.998	4.899	0.251	2.496
4.997	4.899	0.248	2.496
4.995	4.899	0.250	2.495
4.994	4.899	0.252	2.497
4.997	4.899	0.251	2.497
5.001	4.900	0.250	2.495
4.995	4.900	0.250	2.497
4.998	4.899	0.251	2.497
4.997	4.898	0.251	2.496
4.995	4.899	0.251	2.496
4.999	4.899	0.249	2.495
4.997	4.899	0.250	2.495
4.997	4.900	0.251	2.494
4.997	4.900	0.250	2.495
4.997	4.900	0.251	2.495
4.999	4.900	0.252	2.496
5.000	4.900	0.251	2.498
5.000	4.900	0.251	2.496
4.993	4.899	0.249	2.496
4.997	4.899	0.251	2.497
4.997	4.899	0.253	2.497
4.997	4.899	0.250	2.496
4.999	4.899	0.250	2.498
4.999	4.900	0.250	2.497
4.996	4.900	0.250	2.497
4.997	4.899	0.251	2.497
4.998	4.899	0.249	2.497
4.996	4.899	0.251	2.496
4.998	4.899	0.251	2.497
4.996	4.899	0.251	2.497
4.997	4.900	0.250	2.495
4.997	4.899	0.249	2.497
4.998	4.900	0.250	2.497
4.999	4.900	0.250	2.496
4.997	4.899	0.251	2.495
4.997	4.899	0.251	2.496
4.997	4.899	0.251	2.496
4.997	4.899	0.250	2.496
4.996	4.899	0.248	2.496
4.995	4.899	0.250	2.495
4.996	4.900	0.249	2.496
4.998	4.900	0.250	2.495
4.997	4.900	0.249	2.494
4.997	4.899	0.250	2.496
4.999	4.900	0.251	2.497
4.998	4.899	0.251	2.496
4.997	4.899	0.252	2.495
4.997	4.899	0.251	2.497
4.998	4.900	0.251	2.498
4.999	4.899	0.251	2.497
4.996	4.899	0.249	2.496
4.996	4.900	0.249	2.497
4.997	4.899	0.250	2.495
4.997	4.899	0.251	2.496
4.996	4.899	0.251	2.496
4.999	4.899	0.251	2.496
4.996	4.899	0.250	2.495
